102	982456
101	982301
100	982224
99	982104
98	982029
97	981363
96	980764
95	980454
94	980369
93	980111
92	980003
91	979799
90	978859
89	978310
88	977946
87	977677
86	977499
85	977390
84	976818
83	976687
82	976602
81	975624
80	975359
79	975238
78	974910
77	974754
76	974522
75	974319
74	973374
73	973174
72	972441
71	972290
70	971691
69	971571
68	970958
67	970937
66	970098
65	969358
64	967685
63	967544
62	967375
61	966294
60	965357
59	963790
58	962988
57	962580
56	962266
55	961951
54	960571
53	960489
52	959497
51	957879
50	957003
49	956458
48	956286
47	955951
46	955105
45	952982
44	950967
43	950553
42	949275
41	947603
40	946668
39	946604
38	946166
37	945527
36	945290
35	943840
34	939087
33	938883
32	938550
31	937217
30	934318
29	934056
28	933081
27	931020
26	929269
25	928810
24	925370
23	923965
22	923012
21	921778
20	920645
19	917510
18	912002
17	908616
16	904832
15	897765
14	893983
13	886528
12	879480
11	871967
10	861279
9	849702
8	838802
7	835741
6	833186
5	821482
4	794833
3	724317
2	667316
1	528062
