102	982456
101	981746
100	981566
99	980948
98	980836
97	980034
96	979927
95	979416
94	979319
93	979047
92	978874
91	978196
90	977900
89	977296
88	977175
87	977159
86	976820
85	976362
84	975642
83	975414
82	975347
81	974517
80	973586
79	972913
78	971499
77	971367
76	970534
75	970415
74	970279
73	969327
72	969199
71	968617
70	968011
69	967890
68	967523
67	967035
66	965780
65	965624
64	964893
63	964815
62	964531
61	963712
60	963551
59	963220
58	961999
57	961639
56	961483
55	960438
54	960222
53	960006
52	959226
51	958820
50	957960
49	957508
48	956714
47	956319
46	955824
45	955258
44	954249
43	953305
42	953134
41	952894
40	952188
39	951608
38	950154
37	949651
36	946359
35	945636
34	945371
33	944367
32	942370
31	942007
30	941445
29	938316
28	935790
27	934812
26	933387
25	932752
24	930877
23	929447
22	928629
21	926589
20	921028
19	916927
18	916151
17	907959
16	904464
15	898135
14	892303
13	885989
12	883150
11	877764
10	866966
9	855488
8	851425
7	846509
6	831164
5	824589
4	806521
3	773179
2	700894
1	570883
