102	292995
101	292967
100	292704
99	292668
98	292399
97	292350
96	292327
95	292302
94	292189
93	292154
92	292115
91	292106
90	292094
89	292054
88	291751
87	291727
86	291492
85	291445
84	291353
83	291098
82	291041
81	290954
80	290807
79	290584
78	290485
77	290323
76	290231
75	290167
74	290045
73	289881
72	289810
71	289781
70	289713
69	289305
68	289223
67	289040
66	288669
65	288563
64	288529
63	288449
62	288118
61	287671
60	287599
59	287551
58	287501
57	286934
56	286752
55	286430
54	286127
53	286032
52	285699
51	285591
50	285499
49	285411
48	284966
47	284911
46	284790
45	284735
44	284023
43	283393
42	283157
41	283030
40	282969
39	282858
38	282710
37	282631
36	281961
35	281543
34	281062
33	280672
32	280497
31	280109
30	279626
29	279156
28	278607
27	278394
26	277955
25	276774
24	275570
23	274189
22	274081
21	272690
20	272148
19	271536
18	269849
17	268621
16	267942
15	267621
14	265905
13	265580
12	265185
11	263162
10	262593
9	258384
8	257231
7	256044
6	253936
5	247118
4	241496
3	224994
2	200464
1	168897
