102	292995
101	292950
100	292555
99	292519
98	292454
97	292279
96	292211
95	292185
94	292162
93	291963
92	291905
91	291888
90	291870
89	291721
88	291403
87	291291
86	291243
85	290981
84	290924
83	290911
82	290814
81	290760
80	290571
79	290101
78	289450
77	289372
76	289333
75	289248
74	289217
73	289142
72	288719
71	288388
70	288338
69	288170
68	288119
67	288084
66	288059
65	287794
64	287723
63	287637
62	287589
61	287509
60	287458
59	287218
58	286989
57	286960
56	286923
55	286656
54	286481
53	286263
52	286067
51	285935
50	285557
49	285511
48	285160
47	284642
46	284138
45	284052
44	283954
43	283659
42	282981
41	282907
40	282808
39	282445
38	282107
37	281903
36	281802
35	281443
34	281233
33	281156
32	281120
31	280979
30	280606
29	280108
28	279527
27	278796
26	278544
25	278333
24	278079
23	277797
22	277339
21	276334
20	275398
19	274699
18	273310
17	272917
16	272327
15	271333
14	270858
13	269652
12	267328
11	263809
10	262210
9	259439
8	256260
7	255838
6	249980
5	247367
4	241908
3	229872
2	215648
1	173379
