sample	strains_fit	strains_lwr	strains_upr
E1_Control	6775.82664653159	5605.29528596185	8190.79538215072
E1_M13	11113.3203805213	9205.22879003308	13416.9277806364
E1_M15	6181.13291427513	5060.59539671826	7549.78438480021
E1_M16	5496.77792870246	4501.98059252426	6711.39445772892
