11	237373	238548	239449	236110	241091	240123	235484	243149	239718	238182	238760	237492	242275	241073	235632	240443	236893	238276	242095	237998	238124	238323	238976	239895	235800	238297	236985	240643	240760	238251	237652	239423	237388	241815	239220	239499	235475	236594	239336	239552	240666	237424	240294	242640	239397	239712	238317	241158	237348	240188	239278	238732	240618	239025	237272	238625	239467	239983	240288	240423	236908	241117	239207	241775	240050	239866	237370	233831	238082	239990	237353	235668	240250	240145	238366	238145	238430	239120	235950	240472	240545	239141	241912	237648	239979	238899	236175	238780	239536	235789	238125	235961	234422	234746	232254	237360	238943	236398	237245	233302
12	237578	239212	240979	238223	242126	242035	238195	243962	239806	241589	240107	238834	243274	242662	236045	241695	237278	238927	242551	240165	239911	240273	241471	240170	237632	239729	239975	242897	242576	240248	238600	240997	238983	242819	239957	241291	238516	236901	240750	239837	241645	237712	241909	244272	240882	241502	240891	242846	239275	240896	240122	240388	241864	240251	239290	240588	240979	241921	241712	241826	238801	242689	240537	242929	241865	241076	238768	234299	239938	242397	239456	238078	241570	242196	241058	239291	239104	240831	238846	242428	241821	240108	242932	238461	241711	240807	237062	240531	241720	236767	239742	236911	235827	235943	232961	239310	240712	237471	238689	236665
13	240036	239778	242655	238398	243872	244038	239430	244550	240683	243124	241301	241011	244413	244112	236908	242482	237752	239805	243937	240488	241896	241774	242050	242457	238501	240402	241694	243357	242927	241809	238869	242246	240084	243621	241772	242321	240677	239172	240848	241186	242464	239480	242463	245154	242342	242288	241011	244624	242956	241502	241495	242473	242625	240702	240906	241877	242447	242985	243314	243204	239553	244117	240908	243145	243174	243270	239872	237117	241661	242879	240988	238458	242881	243886	242659	240242	241333	241672	239907	244166	242938	240791	243140	239343	243233	241012	237255	241146	242270	238821	241364	238968	237479	236554	236522	241267	241624	238662	239484	237281
14	242105	242803	244460	240216	244744	244253	240595	245438	242101	243867	242746	241938	245536	245008	239641	244085	238829	240932	244516	241914	243536	243465	242365	243472	240381	240540	244413	244897	243741	242131	242150	243042	242316	245181	242334	243782	241084	240330	241366	242097	243561	241589	243083	246112	243911	243205	242939	246527	243336	243202	241955	243062	243334	241850	241369	242346	244017	243837	244423	244474	239926	244675	242435	243257	244684	243945	241839	237851	241965	243851	243270	239689	243829	244685	243337	240604	241948	242941	240414	245207	243291	242071	244841	241647	243436	241986	237766	242886	243848	240639	242467	239253	241887	237269	237073	241849	242214	240894	240495	239642
15	243654	243623	245721	241351	245627	244394	241211	246635	242714	244515	244233	243312	246928	245514	239949	245309	240788	242783	245938	242321	244466	244375	243723	246242	242571	241946	245541	245554	244210	242762	243072	244346	243760	245347	244800	245433	242597	242410	242580	243307	244937	242701	244459	246472	245155	243386	243629	246790	244162	244209	243158	243392	244535	242751	242094	243642	244428	245769	245726	244755	242645	245768	243284	245005	245010	244699	242045	238296	243225	244101	244511	240780	245431	245133	244997	241738	243704	243155	241981	246095	244763	243297	245885	241818	244836	243071	239491	244193	244056	241294	244431	239822	244113	237622	238741	243250	242622	242087	241463	239995
16	244083	244215	246136	243577	246646	245438	241394	248046	244262	245798	244490	244405	247611	245798	240339	246811	241020	244493	246350	242661	245452	244743	244166	247130	244354	242211	245931	246080	245193	243127	243295	244563	244228	246245	245558	245650	242688	243004	244619	244906	245067	244433	245586	247111	246460	243740	245052	248161	244540	245249	244576	243503	246088	242929	243681	243863	245077	246882	246728	246091	243378	246413	243488	245852	245426	245207	242495	239631	243523	245466	245099	242144	245855	246470	245484	242662	243826	243877	242809	246402	244935	243447	246288	242023	245680	244115	241988	244993	245277	241831	245423	240780	244600	240483	239911	244386	243155	243094	242337	241100
17	244240	245092	246521	245111	247170	246438	243097	249203	244744	245915	244930	245426	248467	245960	240445	246884	243488	244715	247720	244065	246659	245742	245312	247443	245028	243251	246491	246536	245493	243295	244972	245678	244370	246643	245677	246462	242862	244918	244808	246075	245368	244900	246145	247322	247117	244775	245315	249084	246484	245471	245575	244849	247700	243266	244654	244598	246180	247046	247921	246670	244311	247658	243630	246491	245713	246765	243995	241135	245790	246429	245725	243609	245959	246715	246164	242913	244691	244351	243317	247238	245974	244442	247207	242442	246614	244538	242435	245675	246758	242504	246597	243095	245919	242820	240130	245583	243971	244593	243914	242764
18	245415	245407	246774	245732	247664	246739	245132	249432	244817	246121	245644	246514	248652	247090	242820	247108	245298	245928	248576	244345	246935	247702	245618	249136	245983	243643	246733	246599	246151	243449	245755	246455	244967	246991	246181	246972	245454	245729	245894	246242	246201	246067	246280	248274	247594	244950	246070	249332	246933	246930	245862	246010	248661	243984	244829	244989	247073	247405	248152	247200	245295	247888	245049	246718	246941	247416	244118	242729	246604	247128	246939	244407	246223	247093	248220	244490	245692	245110	244209	247649	246681	245745	247267	244076	246833	246085	243290	245850	247048	242923	247318	245228	247013	243142	240290	247826	244102	244847	244340	242935
19	246214	245548	248154	246710	247953	248185	246469	249713	245807	246338	246471	247359	249363	247297	244211	247872	246888	246700	249224	244680	247680	247902	246041	249689	246845	243757	246955	247385	246405	243668	246927	246820	246141	248437	247175	247440	246689	247737	246236	246447	246511	246935	247128	248818	247840	245165	246912	249892	247713	247149	246952	247707	249389	244370	246028	245816	247989	248192	249560	247844	246875	248243	246337	247274	247855	247772	244348	244108	247146	247794	247500	245130	246821	247307	248396	244719	246352	246276	244299	247835	247108	246157	247561	245399	247015	246827	243495	246215	247337	244043	248055	246205	247549	243456	242693	249302	245339	245045	244819	244445
20	246716	247643	248389	247249	248302	249634	247214	249991	246602	247327	246844	248113	249548	248398	245845	248233	247013	247150	250138	244909	248452	248182	246147	250415	247466	245004	247674	247882	246864	243813	247352	246971	246536	248754	247900	247768	247477	248516	246298	248251	246809	247930	247299	249555	248669	245350	248378	250469	248785	248311	247797	248019	250362	246115	246981	246211	248765	248307	249982	249049	247869	248539	246700	247900	248231	248151	244475	244821	247338	248399	248143	245242	247959	248274	249042	245022	246686	247072	244725	249514	247350	246269	247995	246332	247765	247092	244403	247303	247737	246819	248854	246560	247898	244816	243589	249533	246615	245742	245243	244878
