11	266195	266432	264142	258217	267265	267419	258082	259526	264856	266768	264342	262816	262346	261940	262068	262677	263809	263548	261667	266627	264528	263470	267375	265735	263242	266386	263315	265840	262079	262559	266095	265965	261583	260169	264896	263423	266567	263204	264863	264069	259703	265919	263791	263682	261121	261283	259432	265772	264001	265322	267009	263561	264545	262119	265623	263162	262663	265012	258641	261892	266872	265335	265099	263933	259815	263952	260292	266729	263454	265773	268402	263585	266392	262846	262941	260950	265523	264763	266873	264507	262335	262607	259540	265535	262432	266196	265493	265172	262268	267879	265143	259336	263321	266488	263293	261977	265519	267262	263233
12	267080	268377	264245	258852	267951	268440	261051	260301	266424	267755	265178	264970	265056	264523	265693	264207	267328	265134	263050	268226	264988	266514	268333	267500	265059	267611	265426	267495	264591	264701	268104	267569	262732	262674	266847	266681	268065	264874	266456	265099	261770	266751	266340	265815	262331	261606	260616	267902	265923	267097	268865	264913	266667	264074	267129	265185	263814	265701	261334	263090	267699	266057	265483	264860	261998	265074	262357	267525	264242	267469	269325	264286	268065	264504	264814	262992	267025	265315	267929	266085	264267	264265	262198	265884	265843	266469	266732	265755	263538	268607	266935	261384	265210	266810	265040	263915	266759	268639	264699
13	268663	269529	266128	259127	268348	268712	263570	262931	266955	269442	267112	266429	266470	266088	267405	268115	269652	267286	267416	268787	265564	268216	269871	268444	265910	269071	267472	268633	266354	266997	270366	268830	267318	263345	267339	268403	269400	265730	267660	266957	266562	268053	267893	267269	266805	264621	262925	269763	267170	267706	269138	267185	268085	265499	268396	265580	265823	267748	264187	266260	268077	267802	269252	265204	263834	266526	265521	268247	265989	268622	270422	265563	269001	265061	267257	265384	268450	267455	269456	267661	267518	266422	264942	267697	267164	268409	268864	267245	266350	269510	267874	262093	266917	268345	265643	264305	266973	269643	264951
14	269515	269615	267856	260552	269345	270226	264623	265009	267710	269783	267218	268346	267236	266425	268449	269456	270858	268971	269100	269142	266280	269633	270253	270041	266635	270216	268834	269082	266536	269572	270692	270158	267704	263500	268401	268878	270789	267640	267795	270638	267285	269163	268959	268682	267897	266193	266430	270662	268257	268812	270321	269558	268655	265799	269262	265905	266857	268958	265279	267161	269248	269356	270445	265622	265608	267956	267164	268465	266865	269225	270851	267492	270839	267101	269113	266357	270215	267840	270802	269090	268703	266933	268157	269107	269340	270180	269824	267358	268269	270503	268274	264409	268580	268546	267544	265747	268288	270497	266307
15	271654	270425	269092	262276	270582	270507	265328	267905	268812	270991	268293	269599	267440	268808	269352	270539	271333	270022	269444	270031	266782	270767	271101	270853	268280	271245	269926	270671	268283	271005	271207	271433	269698	264113	269633	270589	272293	269377	268697	271643	269003	269248	269362	269123	268663	267688	267959	271307	268599	269622	271303	270330	269878	267280	271103	267621	268304	270065	266740	269109	270380	270682	271853	267809	267059	269742	267830	269692	268768	269610	271201	268450	271297	268264	269923	267018	271128	268762	271282	271425	269687	267294	269740	271152	269645	271220	270689	267911	270443	270863	269900	266039	269916	269247	269275	267284	268583	271353	266619
16	271970	271797	269979	262647	271312	271457	266757	268515	269047	271468	268822	270927	269060	269285	270613	272669	272327	271499	270667	271590	270267	271550	271565	271242	268814	271458	270651	271858	269668	272175	272005	272564	271382	265868	269772	270864	273555	270139	270120	272438	270215	270295	270688	269293	268756	269129	268437	272068	268863	271358	271827	272344	270954	269715	271715	267942	268756	271426	268902	269809	270919	271920	273001	269344	267828	271018	269048	272617	269604	271403	271334	268675	272749	268446	270260	268667	271625	270338	271951	271685	269963	269013	271302	272663	271349	271848	271628	268658	272172	271937	271580	267522	270185	269377	270628	268574	269661	272147	268552
17	272306	273015	270068	264735	272395	272148	268310	269393	269376	272748	270460	272368	270377	269611	271382	273415	272917	272209	270937	272751	270546	272745	271754	272753	269803	272733	271588	271990	270281	273160	272247	273045	272969	267335	270888	271373	273954	270319	271158	274684	271801	271438	271889	270430	270233	269479	270094	273119	269434	271922	272757	273006	272030	271029	272231	268621	270009	271931	271341	271381	271756	272531	274332	270722	269596	271909	269636	274107	271795	272664	272882	269205	274413	271381	271135	270670	271865	271716	272359	272070	270601	270361	271951	273039	271950	273104	272480	269954	273121	272893	271691	267660	270837	270673	272863	271062	272188	273708	269390
18	272653	274501	270857	265547	273674	272718	268503	270250	269742	273535	271350	272567	270576	269919	272215	273978	273310	272733	271173	273036	271957	273662	272741	273917	270214	273359	272142	272664	271818	273718	273638	273576	273207	268039	272441	272216	274176	271715	272015	275658	273208	272139	272182	271202	270879	270831	271908	273490	270883	272064	274171	273998	272523	271156	273523	269849	270178	273394	271851	272853	272896	272991	275466	271956	270586	272330	270107	274666	272870	273160	273675	270748	274803	271474	272434	270843	273125	272569	273084	273535	271581	271761	272464	273606	272911	274043	273376	271843	274065	273304	272541	269344	271089	272535	272993	272018	272435	274795	270498
19	273983	275235	272111	265807	274928	272838	270761	271109	270576	274363	271546	273066	273689	271686	273062	275446	274699	273104	272560	273580	272177	274199	273580	274662	271482	274297	273174	273130	273290	274453	274376	274068	273518	268458	273177	272384	274521	272933	273200	276162	273511	273048	273062	272372	270982	272313	272974	273822	272016	273945	274994	274301	273725	272007	273845	271536	270447	273651	272468	273958	274477	273715	275852	273760	272440	273050	270270	274996	273452	273467	274420	271955	275566	272279	272974	271083	273921	272672	273896	274421	272456	272188	272982	273802	273802	274965	273522	272493	275089	273736	272665	270408	272213	272871	273824	272301	273147	275023	271498
20	274770	275934	272496	267833	275522	273941	271586	272524	271377	274663	272033	274056	274623	271951	273395	276470	275398	274594	273503	274384	272590	275455	274744	275340	272283	274985	273449	273335	274566	274807	274549	274474	274039	269875	274615	273056	275253	273323	273612	277368	274356	274482	273506	272447	271149	272954	273909	274166	272960	274955	275703	274674	274025	272081	274185	272148	270778	274000	273535	275107	275384	274052	276618	274219	273386	273595	270961	275382	273595	274154	274839	273551	275952	273340	275821	272211	274380	272798	275098	275125	272582	272794	273289	274601	273947	275150	275061	272755	276266	273987	273602	270755	273046	273334	275102	272596	273961	275772	271740
